,Unnamed: 0,ytid,start_s,end_s,aspect_list,caption,Discogs400 genre,MTG Jamendo genre,danceability,happy,sad,relaxed,mood and theme,instruments,voice gender
535,545,4CkJjhuYRmY,10,20,"['philharmonic orchestra', 'horn player', 'horn melody', 'string section', 'brass section', 'horn section', 'conductor', 'composer', 'western classical music', 'instrumental music', 'victory march', 'timpani’s', 'violins', 'exciting', 'enthusiastic', 'nostalgia', 'great memories', 'victories', 'emotional', 'splendour', 'clarinets', 'pomp and glory', 'medium tempo']","The song is an instrumental. The tempo is medium with a horn playing melody accompanied, by a string section, horn section and a rhythm section and led by a conductor. The song is exciting and regal. The song is a classical western tune.",Classical---Romantic,classical,not_danceable,non_happy,sad,relaxed,"['film', 'drama', 'adventure', 'epic', 'action']","['piano', 'violin', 'cello']",female
536,546,4CkZqT26Vb0,30,40,"['ambient music', 'no voices', 'middle-eastern melody', 'middle-eastern instruments', 'percussion', 'flute', 'relaxing music', 'instrumental']",This song features a flute playing the main melody. This is accompanied by percussion playing a nomadic beat. A stringed instrument plucks notes in the background. Ambient synth sounds are played to give fullness to the song. This song has a middle-eastern influence and is dreamy. It can be played in the intro lobby of a game.,Electronic---Ambient,soundtrack,not_danceable,non_happy,sad,relaxed,"['film', 'epic', 'relaxing', 'emotional', 'action']","['violin', 'percussion', 'piano']",female
537,547,4CrPPlHN9_s,90,100,"['cover', 'pop', 'passionate male vocal', 'wide arpeggiated electric guitar melody', 'simple bass guitar', 'harmonizing background vocals', 'emotional', 'noisy', 'low quality']","The low quality recording features a cover of a pop song and it consists of passionate male vocals, alongside harmonizing background vocals, singing over wide, arpeggiated electric guitar melody and simple bass guitar. The recording is a bit noisy, but it is barely audible, especially when you take into account that it sounds very emotional.",Rock---Alternative Rock,pop,not_danceable,non_happy,sad,relaxed,"['love', 'ballad', 'meditative', 'sad', 'emotional']","['bass', 'drums', 'electricguitar']",male
538,548,4EwWBI-tHLk,30,40,"['instrumental', 'fast tempo', 'brass band', 'tuba', 'clarinet', 'street busking', 'trumpet', 'scratching sound', 'guiro', 'busking percussion', 'lively', 'animated', 'spirited', 'trombones', 'clarinet', 'wind instrument', 'brass instruments', 'banjo', 'resonator', 'shakers', 'busking', 'buskers']","This music is a lively harmony of the brass and wind instruments. The tempo is fast with lively tuba, trombone, trumpet, clarinet with mandolin and resonator accompaniment and busking percussion that sounds like scratching. His music is loud, vibrant, perky, engaging and animated street busking.",Jazz---Dixieland,world,not_danceable,happy,non_sad,relaxed,"['energetic', 'love', 'film', 'adventure', 'happy']","['drums', 'bass', 'electricguitar']",male
539,549,4GlH0-KhInI,30,40,"['techno', 'digital drums', 'synth bass', 'male voice singing', 'deeper voice', 'uptempo']",This song contains digital drums playing a kick on every beat together with a digital synth bass playing a simple almost monotone bassline. A male voice is singing in a deeper key. This song is running through some filters opening up and with a lot of reverb. This song may be playing while having a car ride.,Electronic---Psy-Trance,electronic,danceable,non_happy,non_sad,non_relaxed,"['energetic', 'melodic', 'retro', 'space', 'sport']","['synthesizer', 'bass', 'drums']",female
540,550,4Gow6qZcNZI,390,400,"['low quality', 'groovy bass guitar', 'flat male vocal', 'noisy', 'mono', 'tutorial']","The low quality recording features a tutorial where a flat male vocalist is talking, after which a groovy bass guitar is playing. The recording is noisy and in mono.",Rock---Punk,classical,not_danceable,non_happy,non_sad,relaxed,"['energetic', 'film', 'love', 'adventure', 'melodic']","['drums', 'bass', 'electricguitar']",male
541,551,4H1nc2Xv2Hg,30,40,"['guitarist', 'acoustic guitar', 'minor scale played wrong', 'guitar playing video', 'amateur player', 'guitar learner', 'ambient room noise', 'instrumental music', 'soloist', 'guitar solo', 'boring', 'unsteady playing', 'youtube music video', 'guitar demonstration', 'dissonant notes', 'poor audio quality', 'traffic noise']","The song is an instrumental. The tempo is slow and unsure, with a guitarist attempting to play a minor scale and gets the scale wrong. The song has poor audio quality with ambient traffic noise in the background.",Rock---Alternative Rock,pop,not_danceable,non_happy,sad,relaxed,"['love', 'meditative', 'emotional', 'melodic', 'sad']","['guitar', 'piano', 'acousticguitar']",male
542,552,4HfU5OQUqq0,220,230,"['vocal male monologue', 'drilling noises', 'youtube tutorial', 'medium tempo', 'documentary soundtrack', 'modern', 'cool', 'positive', 'groovy bass line', 'ambient room notes', 'male rap singer', 'memdium tempo', 'groovy bas slime', 'hip hop drumming rhythm', 'syncopated rhythm', 'groovy rhythm', 'soft music background track', 'documentary soundtrack', 'poor audio quality', 'strong bass drops', 'keyboard percussive tones']","A male artist talks and makes drilling noises. The song is a modern hip hop song with male rap vocals, hip hop drumming rhythm, heavy bass drops and keyboard harmony. The track has ambient room noises and the music track is very faint. The audio quality is very average.",Hip Hop---RnB/Swing,hiphop,danceable,non_happy,non_sad,relaxed,"['energetic', 'love', 'deep', 'film', 'melodic']","['bass', 'synthesizer', 'keyboard']",male
543,553,4HhJneiP-hY,0,10,"['orchestra', 'winds section', 'timpani', 'rising pattern', 'dramatic', 'sound effects', 'thunder']","There is an orchestra composed of the winds section and the timpani playing a dramatic tune with a rising melody. Afterwards, a thunder sound effect can be heard. Sounds from this piece can be sampled for use in advertisement jingles or in beat-making.",Stage & Screen---Soundtrack,soundtrack,not_danceable,non_happy,non_sad,relaxed,"['film', 'epic', 'action', 'dark', 'emotional']","['synthesizer', 'violin', 'cello']",male
544,554,4JYJRqwqWGM,60,70,"['amateur recording', 'chime/bell', 'birds chirping']",This audio contains a melodic bell ringing. In the background you can hear birds chirping. This is an amateur recording.,Electronic---Experimental,electronic,not_danceable,non_happy,non_sad,relaxed,"['dark', 'film', 'meditative', 'soundscape', 'melodic']","['synthesizer', 'piano', 'drums']",male
545,555,4KqSdK5KM-I,80,90,"['bluegrass', 'semi acoustic mandolin', 'banjo', 'upright bass', 'background noises', 'amateur recording']",A banjo is playing chords while an upright bass is playing a bassline. These two form the rhythmic section. On top of that a mandolin is playing a fast and complex solo. In the background you can hear the crowd cheering and clapping hands. This is an amateur recording. This song may be playing in a big pub.,"Folk, World, & Country---Bluegrass",country,not_danceable,non_happy,non_sad,relaxed,"['energetic', 'happy', 'inspiring', 'film', 'melodic']","['violin', 'drums', 'acousticguitar']",female
546,556,4L9KyVVsQOc,30,40,"['low quality', 'echoing electric guitar solo melody', 'noisy', 'mono', 'passionate', 'rock']",The low quality recording features an echoing electric guitar playing rock solo melody. The recording is noisy and in mono. It sounds passionate.,Rock---Heavy Metal,rock,not_danceable,non_happy,non_sad,non_relaxed,"['energetic', 'melodic', 'heavy', 'dark', 'epic']","['electricguitar', 'drums', 'bass']",male
547,557,4LZSSya3ZZQ,30,40,"['low quality', 'flat male vocal', 'acoustic guitar solo melody', 'tutorial', 'mono']",The low quality recording features a flat male vocal talking over an acoustic guitar solo melody playing in the background. It sounds like a tutorial and the recording is in mono.,Children's---Story,pop,not_danceable,non_happy,sad,relaxed,"['love', 'melodic', 'christmas', 'meditative', 'inspiring']","['acousticguitar', 'guitar', 'piano']",male
548,558,4Lk8pUeLCwQ,60,70,"['male singers', 'backup singers', 'vocal harmony', 'keyboard accompaniment', 'reggae music', 'tero pop hits', 'retro dance hits', 'groovy dance rhythm', 'percussive bass line', 'groovy drum rhythm', 'keybiard accompaniment', 'sonic effects', 'horns playing trumpets', 'passionate', 'story telling', 'spirited', 'enthusiastic', 'exciting', 'medium fast tempo']","A male singer sings this reggae melody with backup singers in vocal harmony. The song is medium fast tempo with a groovy drum drumming rhythm, keyboard accompaniment, percussive bass line and various percussive effects. The song is groovy and enthusiastic with a reggae influence.",Hip Hop---Pop Rap,latin,danceable,happy,non_sad,non_relaxed,"['summer', 'deep', 'happy', 'funny', 'energetic']","['drums', 'percussion', 'keyboard']",male
549,559,4M0njWKFsME,30,40,"['rock music', 'piano', 'electric guitar strumming', 'minor key', 'rock power ballad', 'ballad', 'grungy electric guitar strumming', 'overdrive']","Here we have a powerful rock ballad instrumental in a minor key. The guitar is grungy and overdriven, and the piano is clean and plays the same chords as the guitar at the same time.",Rock---Pop Rock,rock,not_danceable,non_happy,sad,non_relaxed,"['love', 'epic', 'melodic', 'emotional', 'dark']","['drums', 'synthesizer', 'electricguitar']",male
550,560,4M_k01zIbVM,30,40,"['low quality', 'playback', 'cover', 'soft rock', 'groovy bass', 'strummed electric guitar', 'mellow electric guitar melody', 'reverberant rimshot', 'shimmering cymbals', 'sizzling high pitched synth pad', 'emotional', 'passionate', 'funky']","The low quality recording features a cover of a soft rock song and it consists of strummed electric guitar and mellow electric guitar melody played over playback that has groovy bass, reverberant rimshots, shimmering cymbals and sizzling high pitched synth pad. It sounds emotional, funky and passionate.",Electronic---Ambient,electronic,not_danceable,non_happy,sad,relaxed,"['love', 'relaxing', 'melodic', 'dark', 'background']","['guitar', 'synthesizer', 'electricguitar']",male
551,561,4Mm5mBgktG0,30,40,"['average audio quality', 'groovy rhythm', 'electronic dance music', 'instrumental music', 'groovy bass line', 'medium tempo', 'synth trumpet lead', 'people dancing', 'dj', 'techno dance rhythm', 'dance club', 'dance floor', 'spirited', 'energetic', 'youthful', 'grunge keyboard tones']","The song is an instrumental. The song is medium tempo with a groovy bass line, grunge keyboard tones, synth trumpet lead and techno drumming rhythm. The song is entertaining and energetic. The song is an electronic dance song with average quality recording.",Electronic---Electro,electronic,danceable,non_happy,non_sad,non_relaxed,"['energetic', 'party', 'sport', 'melodic', 'happy']","['synthesizer', 'computer', 'bass']",female
552,562,4Mo7tdV2LZk,30,40,"['oriental', 'voices singing', 'fast oud playing', 'slower tempo', 'amateur recording']",A oud is being played fast while a choir is singing a melody slowly moving down the scale. This song may be playing at a music reunion. This is an amateur recording.,"Folk, World, & Country---Folk",world,not_danceable,non_happy,non_sad,relaxed,"['film', 'meditative', 'melodic', 'energetic', 'relaxing']","['synthesizer', 'flute', 'guitar']",male
553,563,4PGzlwvXMnE,30,40,"['low quality', 'trap', 'wide harmonizing male vocals', 'flat male vocal', 'punchy 808 bass', 'repetitive synth lead melody', 'groovy', 'addictive', 'high pitched riser']","The low quality recording features a trap song that consists of flat male vocals, alongside wide harmonizing male vocals, singing over punchy 808 bass and repetitive synth lead melody in the background. There is a high pitched riser at the end of the loop. It sounds groovy and addictive thanks to that cadence.",Hip Hop---Crunk,hiphop,danceable,happy,non_sad,non_relaxed,"['energetic', 'love', 'happy', 'upbeat', 'funny']","['drums', 'synthesizer', 'bass']",female
554,564,4PNPgaLKFlc,150,160,"['kids music', 'positive', 'fun', 'bright piano', 'subtle trumpets', 'appealing female vocals', 'easygoing', 'mid-tempo', 'jazzy drums']",The track is a Kids Music song. A female voice with appealing vocals sings an easygoing melody. A piano with a bright sound plays a jazzy melody. A jazz drum kit plays a smooth beat. In the background there are trumpets playing a melody that matches the positive and fun atmosphere of the track.,Pop---Ballad,pop,not_danceable,happy,sad,relaxed,"['happy', 'love', 'christmas', 'positive', 'upbeat']","['piano', 'acousticguitar', 'drums']",female
555,565,4Psj5jYa7a4,20,30,"['didgeridoo', 'circular breathing', 'water sound', 'percussive sound', 'fast tempo', 'amateur recording']",Someone is playing a didgeridoo using circular breathing to continue airflow. A percussive stick sound can be heard and in the background you can hear waves of water. This song may be playing at the beach practicing didgeridoo by yourself.,Electronic---Experimental,electronic,danceable,non_happy,non_sad,relaxed,"['dark', 'film', 'melodic', 'soundscape', 'energetic']","['synthesizer', 'electricguitar', 'drums']",male
556,566,4Psyk_xyBl0,40,50,"['chorus electric guitar', 'guitar effects pedal', 'mid tempo', 'psychedelic', 'no vocals', 'dreamy']",The track features an electric guitar with a chorus pedal effect. The guitar alternates between riff to melody. The sound is space-like and almost psychedelic. The atmosphere is sweet and dreamy.,Rock---Indie Rock,rock,not_danceable,non_happy,sad,relaxed,"['relaxing', 'meditative', 'melodic', 'love', 'happy']","['guitar', 'electricguitar', 'bass']",male
557,567,4QES-SJ7mP0,210,220,"['r&b', 'synthesizer pad', 'electronic drums', 'female vocalist', 'hip hop', 'minor key', 'modern production', 'four chord']","A four chord modern hip hop/ R&B production featuring synthesizer pads, electronic drums, a female vocalist in a minor key.",Electronic---House,electronic,danceable,non_happy,non_sad,relaxed,"['love', 'deep', 'happy', 'melodic', 'energetic']","['synthesizer', 'piano', 'bass']",female
558,568,4QJktFv916o,170,180,"['low quality', 'metal', 'punchy snare', 'double pedal kick', 'female opera vocal', 'wide electric guitar melody', 'groovy bass', 'energetic cymbals', 'aggressive', 'upbeat', 'energetic']","The low quality recording features a metal song that consists of female opera vocal singing over double pedal kick, punchy snare, energetic cymbals, wide electric guitar melody and groovy bass guitar. It sounds aggressive, energetic and upbeat.",Rock---Heavy Metal,metal,not_danceable,non_happy,non_sad,non_relaxed,"['epic', 'heavy', 'action', 'dark', 'melodic']","['guitar', 'drums', 'synthesizer']",male
559,569,4S4NDnNTptY,30,40,"['orchestra', 'low quality', 'noisy', 'energetic', 'dynamic', 'wide strings section', 'aggressive triangle cymbal', 'uptempo', 'brass section', 'woodwind section']","The low quality recording features an orchestra that contains a wide string section, aggressive triangle cymbal and woodwind section dynamically playing an addictive melody. It is very noisy, uptempo, energetic and dynamic.",Classical---Romantic,classical,not_danceable,non_happy,sad,relaxed,"['film', 'epic', 'drama', 'action', 'melodic']","['piano', 'violin', 'synthesizer']",female
560,570,4T2KBwRxi_g,520,530,"['didgeridoo', 'breathing sounds', 'deep bellowing instrument', 'live recording']","This is a live recording of a didgeridoo being played. The musician  takes a deep breath intermittently while playing the deep, bellowing tone of the instrument.",Electronic---Experimental,electronic,not_danceable,non_happy,non_sad,relaxed,"['energetic', 'film', 'dark', 'action', 'melodic']","['drums', 'guitar', 'synthesizer']",male
561,571,4TDtUHo5cSE,30,40,"['low quality', 'groovy walking bass', 'smooth organ keys melody', 'shimmering hi hats', 'soft snare hits', 'groovy drums', 'soft kick hits', 'shimmering ride cymbal', 'jazz', 'easygoing', 'warm']","The low quality recording features a jazz song that consists of shimmering hi hats and ride cymbals, soft kick and snare hits, groovy walking bass and smooth organ keys melody. It sounds easygoing, groovy and warm - almost like a theme song for some old cartoon.",Jazz---Gypsy Jazz,jazz,not_danceable,non_happy,sad,relaxed,"['happy', 'ballad', 'melodic', 'background', 'romantic']","['drums', 'bass', 'piano']",female
562,572,4TXy2i036LU,30,40,"['pop', 'e-guitar', 'strumpets', 'upright bass', 'drums', 'piano', 'male voice singing', 'medium to uptempo', 'sensitive']",This song contains drums with a deep and strong but jet soft kick sound with a snare that sounds muted. An upright bass or e-bass is playing a line along. A e-guitar is strumming a chord progression along with a piano. A male voice is singing in the midrange sounding sensitive and honest. Panned to both sides of the speakers two trumpets are playing a melody in the lower to mid-range. This song may be playing in a beautiful romantic art video.,"Folk, World, & Country---Folk",pop,not_danceable,non_happy,sad,relaxed,"['love', 'ballad', 'meditative', 'relaxing', 'melancholic']","['piano', 'drums', 'guitar']",male
563,573,4T_5clu_0OM,0,10,"['latin male vocals', 'backup singers', 'song intro', 'groovy bass line', 'medium tempo', 'poor audio quality', 'kick drums', 'latin band', 'latin dance band', 'gospel music', 'praise and worship', 'christian contemporary music', 'tambourine percussions', 'steady drum rhythm', 'groovy bas slime', 'latin folk song', 'latin folk song', 'conversations', 'passionately', 'spirited', 'groovy', 'guitar rhythm']","Male singers engage in a conversation at the beginning of the song. The song is medium tempo with a guitar playing rhythm, steady drumming rhythm, tambourine percussion, kick drum percussion and keyboard accompaniment. The song is romantic and spirited. The audio quality is poor.",Reggae---Ragga,reggae,danceable,happy,non_sad,non_relaxed,"['love', 'happy', 'energetic', 'melodic', 'film']","['bass', 'electricguitar', 'drums']",male
564,574,4Ua6i_VDYU4,30,40,"['amateur recording', 'pop', 'dance', 'e-bass', 'digital drums', 'synth pluck', 'strings', 'female voice singing', 'crowd cheering', 'uptempo']","This audio contains a digital drum with a kick on every beat. An e-bass is playing a slightly funky groove. A synthesizer is playing a short fast melody. Another synth sound is playing a string/pad sound rising up into focus. A female voice is singing, then another female voice takes over singing. The crowd is cheering loudly. This song may be playing during a live show.",Pop---K-pop,electronic,danceable,happy,non_sad,non_relaxed,"['energetic', 'happy', 'sport', 'love', 'summer']","['drums', 'bass', 'synthesizer']",female
565,575,4Udqs0trpMw,30,40,"['orchestral/jingle', 'brass section', 'flutes', 'xylophone', 'cymbals', 'medium tempo', 'uplifting energy']",This audio contains an orchestral composition. A brass section is playing an uplifting melody with a horn playing a bassline. Cymbals are playing a 8th notes rhythm and flutes and a trombone are playing a countermelody. On top of that a xylophone is playing a melody in a higher pitch on top. This song may be playing during a cheerful cultural event such as Christmas.,Brass & Military---Brass Band,classical,not_danceable,non_happy,sad,relaxed,"['film', 'adventure', 'christmas', 'documentary', 'drama']","['piano', 'flute', 'cello']",male
566,576,4VbXYuCz4M0,30,40,"['low quality', 'noisy', 'mono', 'harmonica solo melody', 'acoustic rhythm guitar chords', 'happy', 'joyful', 'live performance']","The low quality recording features a live performance that consists of harmonica solo melody played over acoustic rhythm guitar chords. The recording is noisy, in mono and it sounds happy and joyful.",Blues---Harmonica Blues,folk,not_danceable,non_happy,sad,relaxed,"['love', 'energetic', 'ballad', 'melodic', 'meditative']","['acousticguitar', 'electricguitar', 'accordion']",male
567,577,4Vg0PQuHTk0,460,470,"['funk', 'bright synth', 'dance music', 'eighties', 'electro-funk', 'soul', 'groovy bassline', 'trumpety-synth', 'synth stabs']","This is a groovy, electro-funk track which works well for dancing. A song like this would be heard in the eighties. It is soulful and upbeat. There are synth stabs and a trumpety synth motif in the background.",Funk / Soul---Boogie,pop,danceable,happy,non_sad,non_relaxed,"['happy', 'summer', 'deep', 'funny', 'energetic']","['bass', 'drums', 'keyboard']",female
568,578,4W3Ql8JbEN8,30,40,"['ambient music', 'low quality', 'short repetitive synth hits', 'buzzy sounds', 'deep synth hit', 'background music', 'intense', 'suspenseful', 'video game']","The low quality recording features short repetitive synth hits located in the right channel, buzzy sounds in the left channel of the stereo image and deep synth hits in the middle. It sounds intense and suspenseful, like background music for a video game.",Electronic---Experimental,electronic,danceable,non_happy,non_sad,relaxed,"['dark', 'soundscape', 'film', 'relaxing', 'meditative']","['synthesizer', 'piano', 'drums']",female
569,579,4W8BYc8ZMaE,30,40,"['female voice', 'female backing vocal', 'acoustic guitar', 'crowd screaming', 'live music']",The music features a female voice singing while being backed by another female voice. The instrumental consists of only one acoustic guitar that strums chords. At one point the crowd is screaming/cheering. The sound of the recording plus the cheering crowd makes me think that this was recorded at a live event.,"Folk, World, & Country---Folk",pop,not_danceable,happy,non_sad,non_relaxed,"['love', 'energetic', 'melodic', 'happy', 'christmas']","['acousticguitar', 'synthesizer', 'drums']",female
570,580,4W8IZxn3nEI,30,40,"['male vocalist', 'medium fast tempo', 'off key singing', 'relatable', 'simple melody', 'funny', 'homer simpson cover', 'home video', 'amateur singing', 'animated', 'childish lyrics', 'keyboard harmony', 'steady drumming', 'simple bass lines', 'auto tune', 'rhythmic acoustic', 'guitar']","A male vocalist sings this animated song. The tempo is medium fast with keyboard harmony, acoustic guitar , steady drumming and simple bass lines. The song is simple, catchy, funny, spirited, animated and easy to sing along. The lyrics are funny.",Pop---K-pop,electronic,danceable,happy,non_sad,non_relaxed,"['energetic', 'happy', 'funny', 'upbeat', 'love']","['synthesizer', 'drums', 'bass']",male
571,581,4X2aUZFZlzc,30,40,"['techno/hardstyle', 'digital drums', 'voice samples', 'two different songs', 'synth sound', 'fast tempo', 'amateur recording']",A digital drum is playing a monotone beat with a kick on every beat along with a repeating voice sample. In the next song a wide synth pad is playing a string sound while a female voice sample is singing a melody. These songs may be playing in a techno club.,Electronic---Hands Up,electronic,danceable,non_happy,non_sad,non_relaxed,"['energetic', 'melodic', 'party', 'space', 'dark']","['synthesizer', 'bass', 'keyboard']",female
572,582,4Y5VcH7iK3Q,30,40,"['instrumental', 'surf rock', 'ride cymbal', 'spring reverb', 'rhythm electric guitar strumming', 'lead electric guitar melody', 'walking bassline']",Instrumental surf rock with a lead electric guitar playing the melody and a rhythm electric guitar strumming chords. Ride cymbals are loud in the mix and spring reverb is used as an effect. The electric bass is playing a walking pattern.,Rock---Surf,rock,not_danceable,happy,non_sad,non_relaxed,"['energetic', 'adventure', 'love', 'inspiring', 'happy']","['electricguitar', 'bass', 'drums']",female
573,583,4Yc71_dU3m4,30,40,"['instrumental', 'fast tempo', 'lively veena harmony', 'raga', 'indian classical', 'hindustani instrumental', 'concert', 'north indian classical music', 'indian string instrument', 'indian wind instrument', 'sandhya raag', 'classical music', 'hindustani', 'taal', 'sruti', 'melodic flute harmony', 'tanpura', 'tabla rhythm', 'indian percussion']","This music is a lively instrumental of the Indian Classical instruments. The tempo is fast with a lead Veena harmony, spirited tabla and tanpura rhythm and melodic flute accompaniment. The music is euphoric, mellifluous, dulcet, lively, high spirited and rich. This music is a Indian Classical Veena instrumental.","Folk, World, & Country---Indian Classical",folk,not_danceable,non_happy,sad,relaxed,"['film', 'relaxing', 'meditative', 'epic', 'inspiring']","['violin', 'flute', 'drums']",female
574,584,4ZwGxgOwBUc,140,150,"['instrumental', 'fast tempo', 'woman speaking', 'background', 'superimposed vocals', 'cheerful', 'playful', 'lively viloin', 'vivacious cello', 'viola', 'upbeat', 'engaging', 'spirited', 'static', 'ambient outdoor sounds', 'cheerful melody']","This music is a lively violin composition. The tempo is fast with a spirited violin harmony and vivacious viola and cello accompaniment. The music is upbeat, happy, cheerful, playful, fresh and captivating with the voice of a woman superimposed on it with static and ambient outdoor sounds. This instrumental is a background music to a live presentation happening outdoors.",Jazz---Swing,jazz,not_danceable,non_happy,sad,relaxed,"['christmas', 'melodic', 'film', 'energetic', 'love']","['drums', 'piano', 'bass']",female
575,585,4_s5vHgfxnw,30,40,"['amateur recording', 'bagpipes', 'side drum', 'background voices', 'uptempo', 'traditional']",This audio contains someone playing bagpipes with something that sounds like a traditional piece. Someone is also playing a side drum snare along. This song may be playing on the street performed by buskers.,Electronic---Experimental,electronic,danceable,non_happy,non_sad,relaxed,"['melodic', 'energetic', 'meditative', 'love', 'film']","['synthesizer', 'bass', 'drums']",male
576,586,4a1a-lmDVaY,30,40,"['funk song', 'male voice', 'backing voices', 'tambourine', 'saxophone', 'percussion', 'guitar', 'funk bass', 'moderate tempo', 'upbeat', 'repetitive melody', 'guitar tron effect']",This funk song features a male voice singing the main melody. Other voices sing backing vocals in harmony. A saxophone plays a repetitive melody. This is accompanied by percussion playing a funk beat. The bass plays a funky bassline. A guitar plays muted chords using a tron effect. This song is upbeat and has a happy mood. This song can be played at a retro style disco.,Electronic---Breaks,funk,danceable,happy,non_sad,non_relaxed,"['energetic', 'happy', 'summer', 'sport', 'deep']","['bass', 'drums', 'percussion']",male
577,587,4b8gTARnmVE,30,40,"['salsa', 'male vocals', 'joyful singing', 'piano', 'bass guitar', 'latin acoustic drums', 'latin percussion', 'clave', 'latin dance', 'vibrant', 'lively', 'upbeat', 'euphoric']","This is a salsa music piece. There is a male vocal in the lead joined by another as a back vocal. All the vocals are singing joyfully. There is a piano playing the main melody while a bass guitar is playing in the background. In the rhythmic background, there is an acoustic latin drum beat with percussion playing syncopations all over. There is a lively, upbeat atmosphere. This piece could be played at dance clubs and it could also be used as an accompaniment piece for latin dance courses.",Latin---Salsa,latin,danceable,happy,non_sad,non_relaxed,"['energetic', 'happy', 'love', 'upbeat', 'melodic']","['piano', 'drums', 'synthesizer']",male
578,588,4bXb6GLm6zg,30,40,"['live performance', 'blues', 'instrumental', 'electric guitar', 'guitar solo', 'bass guitar', 'acoustic drums', 'groovy', 'crunchy', 'slow tempo']",This is the live performance of a blues music piece. It is an instrumental performance. The lead electric guitar is playing a blues solo while another electric guitar and a bass guitar are playing in the background. The rhythmic background consists of a slow tempo blues acoustic drum beat. There is a groovy atmosphere to this performance. This piece could be playing in the background at a rock bar.,Rock---Blues Rock,rock,not_danceable,happy,sad,relaxed,"['energetic', 'melodic', 'love', 'ballad', 'relaxing']","['electricguitar', 'bass', 'drums']",male
579,589,4cg3MsrvJqw,210,220,"['gehu chinese instrument', 'guqin chinese instrument', 'live recording', 'erhu chinese instrument', 'hand cymbal', 'bongo like percussion', 'traditional chinese folk music', 'group singing', 'background talking']","This is a traditional Chinese folk band playing  a variety of traditional chinese instruments. The erhu, which sounds much like a violin, is being played in harmony with the guqin to create a melody which the performers also sing. The percussion is done on a bongo-sounding drum. This  is a live performance, and we hear people speaking in the background.","Folk, World, & Country---Raï",electronic,danceable,non_happy,non_sad,relaxed,"['energetic', 'happy', 'melodic', 'love', 'dark']","['guitar', 'synthesizer', 'electricguitar']",male
580,590,4dilYyxYLmM,30,40,"['electro/dubstep/pop&lock', 'digital drum', 'digital bass sound', 'sound effects', 'uptempo', 'uplifitng energy']",This song contains a digital drum with a shaker panned to the left side of the speaker. There are other rhythmic sound effects panned to the right side of the speakers. A digital bass playing a repeating melody is the center of this song. This song may be playing in a dance battle.,Funk / Soul---Funk,electronic,danceable,non_happy,non_sad,non_relaxed,"['energetic', 'melodic', 'slow', 'cool', 'dark']","['synthesizer', 'bass', 'drums']",female
581,591,4ezo771lGts,210,220,"['explosions', 'jet airplane', 'synthesized orchestral string pad', 'electronic drum beat', 'mellow backbeat', 'subdued', 'four chords']","Sounds of explosions and jet airplanes over a synthesized orchestral string pad playing a four chord progression and electronic drums playing a subdued, mellow backbeat rhythm.",Electronic---Industrial,electronic,danceable,non_happy,non_sad,relaxed,"['epic', 'dark', 'action', 'film', 'space']","['synthesizer', 'drums', 'piano']",female
582,592,4gEmWJCPZGo,370,380,"['tabla playing', 'instrumental music', 'groovy rhythm', 'sikh music', 'people chanting', 'punjabi music', 'trance music', 'religious song', 'devotional', 'fast tempo', 'trance music', 'traditional instruments', 'people chapping', 'cheering sounds', 'religious fervour', 'poor audio quality', 'harmonium playing accompaniment', 'harmonium player', 'congregational music']",The song is primarily an instrumental with male voices chanting prayers. The song is fast tempo with tabla percussions and harmonium playing accompaniment. The song is spirited and devotional with a trance like feel to it. The audio quality is very poor.,Electronic---Experimental,electronic,danceable,happy,non_sad,non_relaxed,"['energetic', 'melodic', 'happy', 'film', 'funny']","['synthesizer', 'drums', 'bass']",female
583,593,4hulNRgH6cI,30,40,"['instrumental', 'boomy bass line', 'synthesiser articulation', 'intense electric guitar feedback', 'slow tempo', 'grim', 'dangerous', 'threatening', 'savage', 'precarious', 'sinister', 'ambiguous', 'hard rock', 'rock']","This music is instrumental.the tempo is slow with a boomy, menacing bass and synthesiser arrangements. The music is deliberate, menacing, precarious,threatening, scary, sinister and grim. This music is Hard Rock.",Electronic---Ambient,electronic,danceable,non_happy,non_sad,relaxed,"['dark', 'soundscape', 'space', 'relaxing', 'dream']","['synthesizer', 'bass', 'drums']",female
584,594,4i11P4OCRfk,30,40,"['oriental', 'amateur recording', 'strings', 'dulcimer', 'tablas', 'slow to medium tempo']",This recording contains a dulcimer playing a melody along with loud tablas playing a lot of deep hits that are overloading the recording speakers. At the end a string sound comes underlining with long pad notes. This song may be playing in a live event.,"Folk, World, & Country---Hindustani",world,not_danceable,non_happy,non_sad,relaxed,"['melodic', 'relaxing', 'meditative', 'film', 'dream']","['drums', 'bass', 'electricguitar']",male
585,595,4i1aizhCnfg,30,40,"['male vocalist', 'slow tempo', 'vigorous introduction', 'synthesiser arrangements', 'contrast song fade', 'soft acoustic guitar accompaniment', 'korean pop', 'k-pop', 'k-pop hits', 'mellow guitar', 'song fade', 'love song', 'romantic', 'emotional', 'passionate', 'mellow', 'soft', 'calm']","A male vocalist sings this mellow pop. The tempo is slow in contrast to the enthusiastic introductory bit in this section. The song is soft, mellow, emotional, repetitive, melancholic, nostalgic and passionate with a soft acoustic guitar accompaniment. This could be a song fade. This song is a Korean Pop/K-Pop song.",Pop---Ballad,pop,danceable,non_happy,non_sad,non_relaxed,"['love', 'ballad', 'melodic', 'energetic', 'sad']","['electricguitar', 'synthesizer', 'drums']",male
