ytid,start_s,end_s,aspect_list,caption
DA3fNvbZoBM,80,90,"['folk rock', 'acoustic guitar', 'folk harmonies', 'country-folk', 'powerful guitar stabs', 'repeated vocal motif']","This is a quintessentially folk-rock song, with at least a three-part country-folk harmony. There is an acoustic guitar arpeggio throughout the clip, and a powerful stab on the bass strings every second bar. The song feels sombre, in a way."
DA8lw6Mq0DY,360,370,"['gospel', '2 separate songs', 'strings', 'acoustic guitar', 'acoustic drums', 'e-bass', 'female voice singing', 'medium to uptempo']","A female voice is singing a ballad with some reverb on her voice while an acoustic guitar is finger-picking chords on the left side of the speakers. A string section is playing harmonies along with the singer. A e,bass is played along with shakers and ride hits from a drummer. A piano is playing along with the melody. The elements are spread across the sides of the speakers."
DAPGvg8qOAU,0,10,"['acoustic folk', 'mandolin', 'acoustic guitar', 'male vocal', 'story-telling mood', 'mellow', 'gentle', 'cozy', 'easygoing', 'american']",This is an acoustic folk piece. The main melody is being played with a mandolin while there is an acoustic guitar backing. A male vocalist is singing in a story-telling mood. The overall atmosphere of the piece is mellow. This piece could definitely be used in the soundtracks of romantic movies. It could also be played in sequences that emphasize longing and loneliness.
DAX9uKYlDvw,120,130,"['latin american music', 'upbeat', 'brass instruments', 'bongo drums', 'piano', 'male hispanic vocal group', 'salsa dancing', 'live performance', 'low quality audio']",This is a traditional Latin American song which would be suitable for salsa dancing. There are layers of percussion including bongo drums and snare drums. The pianist plays intricate melodies and the brass section plays vibrant and punchy motifs. It's a live performance with a relatively poor audio quality. There is a male group of singers performing energetically.
DB38NRSHw9A,30,40,"['r&b', 'happy', 'mid-pitched male vocals', 'soft piano synth', 'kick', 'snare', 'hi-hats', 'upbeat', 'out of key vocals', 'mid tempo']",The music contains an erotic male voice which is out of key and clearly in the foreground. In the background there's a sustained soft piano synth and a drum kit playing a mid pitch beat. The atmosphere is sexual and seductive.
DC0C-KO9EJk,100,110,"['electro/rock', 'synth bass', 'e-guitar', 'digital drums', 'fast paced', 'uplifting']","This song contains a synth bass changing pitch really fast along with a digital drum groove. A distorted e-guitar is playing a riff that is panned to the right side of the speakers. This audio may be playing in a fast paced, arcade video-game."
DCFrCX4HPO8,120,130,"['telephone ringing', 'hindi pop music', 'medium tempo', 'indian percussions', 'tambourine percussions', 'female singers', 'romantic', 'love song', 'hindi pop song', 'guitar rhythm', 'strong bass line', 'energetic', 'passionate', 'bollywood dance music', 'average audio quality', 'keyboard accompaniment']","A female singer sings this passionate melody. The song is a medium  tempo with a groovy bass line , steady drumming, keyboard accompaniment, Indian percussion and tambourine accompaniment. The song is playful and romantic. The song is a modern Bollywood pop song with average quality audio."
DDZlMjb-0i4,150,160,"['electronic', 'full overdrive', 'electronic drums', 'helicopter sound', 'aggressive', 'amateur recording']",This song contains digital drums with a reverbed snare and a helicopter-sound. The whole recording is completely over-driving the speakers. It is of very poor sound quality.
DE6bdmnmPtg,60,70,"['male vocalist', 'fast tempo', 'pop', 'retro', 'retro pop', 'muffled audio', 'inferior audio quality', 'vivacious', 'vigorous', 'vital', 'funk', 'r&b', 'soul', 'vigorous instrumentation', 'brass band', 'animated trumpets', 'trombone', 'hard hitting drumming', 'keyboard harmony', 'choral harmony', 'groovy bass lines', 'acoustic guitar rhythm', 'brass band']","A male vocalist sings this energetic funk pop. The audio  quality is inferior and the song is not clear.The tempo is. Fast with animated trumpets, with a boomy trombone, infectious drumming, keyboard harmony, groovy bass lines, rhythmic electric and acoustic guitar and melodious choral backup. The song is melodic, enthusiastic, energetic, animated and captivating Retro Funk/Pop."
DEnayQZiPGc,260,270,"['song ending', 'keyboard beeps', 'drum banging loud', 'ad jingle', 'techno music', 'building tension', 'excited', 'energetic', 'creating awareness', 'retro ad spots', 'advertisement soundtrack', 'timpani', 'beep tones', 'crescendo sounds', 'instrumental music', 'medium tempo', 'poor audio quality', 'different sound tracks']","The song is an instrumental. The tempo is variable, with a timpani crash, various beeping tones and  a crescendo grungy keyboard harmony tone. The song is a soundtrack for an advertisement. The audio quality is very poor."
DG5d4megH8g,180,190,"['oriental', 'acoustic drums', 'strings', 'flute', ""percussion's"", 'medium to uptempo', 'amateur recording']",An acoustic guitar is strumming chords. A violin is playing a melody along with a flue and another hammered string instrument. Percussions are being played in a rhythm that is not a 4 bar count. All the instruments are spread across the sides of the speakers. This song may be playing in a desert movie scene.
DGON0D8E17Q,260,270,"['instrumental', 'fast tempo', 'intense', 'techno', 'technopop', 'burgeoning music', 'synthesiser articulation', 'digital music', 'edm', 'electronic music', 'throbbing rhythm', 'pulsating', 'building up', 'electrifying', 'anticipation', 'simple beat', 'buoyant', 'club music', 'dance pop', 'dance music', 'dj', 'dance floor', 'youthful', 'trance', 'hypnotic', 'trap music', 'electropop', 'electronica', 'futuristic', 'fourth world music', 'new age', 'trippy']","This music is instrumental. The tempo is fast with a burgeoning beat and digital swishing sounds. The music clip seems to be the introduction of the song as it starts with a slow tempo and decibel and rapidly builds up to a faster beat. The music is youthful, buoyant, energetic, pulsating and high spirited. This song is an Electronica/Techno Pop."
DGbMEkQerYs,30,40,"['rock&roll/soul', 'e-guitar', 'e-bass', 'acoustic guitar', 'piano', 'banjo', 'two songs', 'male voice singing', 'female voice singing', 'upright bass', 'medium to uptempo']","A male voice is singing along to a blues/rock bassline and acoustic drums. A e-guitar and a banjo are playing the same melody as the bass. All the instruments are playing when the male voice is not singing. Then after fading out a new song starts with a percussive sound, an upright bass, piano and a female voice singing.This song may be playing in a bar."
DGlP6oTqe5Y,30,40,"['male vocalist', 'fast tempo', 'electronic music', 'techno pop', 'synthesiser arrangements', 'tambourine beats', 'digital drumming', 'surround sound', 'rock and roll', 'techno mix', 'electro pop', 'trance', 'psychedelic', 'energetic', 'enthusiastic', 'groovy', 'dance pop', 'dance music', 'club music', 'heavy reverb']","A male vocalist sings this energetic song. The tempo is fast with synthesiser arrangements, digital drumming and tambourine beats along with an incessant catchy vocal riff and vocalisation. The music is buoyant, energetic,enthusiastic , pulsating, punchy and groovy. This song is Techno Pop."
DHDn79ee98Q,30,40,"['cinematic', 'synth sounds', 'sound effects', 'timpani hits', 'disturbing']","This song contains synthesizer pads and plucks playing all over the place along with ringing sounds, timpani and snare hits. This song may be playing for a bossfight in a video-game."
DHo1z0_ZUNA,30,40,"['steel guitar', 'country music', 'live recording', 'slow country music', 'country ballad', 'arpeggio', 'intricate steel guitar playing', 'country western', 'vintage country']",The song is a slow country song - a country ballad played on a steel guitar. This is the type of song that would be suitable for an old country western movie where a hero character walks into a diner. This is a live recording and the song has a slow tempo.
DJHEBMNPc-A,0,10,"['electronic drum beat', 'snaps', 'long reverb', 'clicky synth melody', 'stereo delay', 'crunchy kick', 'syncopated kick pattern', 'high fidelity production', 'sophisticated', 'stylish']","a solo electronic drum beat featuring snaps with a long reverb, a clicky synth melody through a stereo delay, a crunchy kick playing a syncopated pattern and high fidelity production. Sophisticated and stylish."
DKBbLySEGic,30,40,"['low quality', 'harmonizing mixed vocals', 'harsh', 'live performance', 'distorted bass', 'arpeggiate synth keys melody', 'crushed', 'crowd excitement', 'unbalanced stereo', 'mystical']","The low quality recording features a live performance that consists of harmonizing mixed vocals singing over distorted bass and arpeggiated synth keys melody. It sounds crushed, harsh and the stereo image is unbalanced since the sound is leaning towards the right channel of the stereo image. There are some crowd excitement sounds in the background."
DKflAAykh6A,30,40,"['salsa', 'latin folk music', 'male singer', 'spirited singing', 'emotional', 'couples dancing', 'passionate song', 'mysterious', 'latin percussions', 'trumpets playing', 'medium tempo', 'various percussion hits', 'keyboard harmony', 'romantic', 'love songs', 'latin romantic hits', 'keyboard accompaniment', 'poor audio quality', 'passionate', 'groovy bass line']","A male singer sings this Latin melody. The song is medium tempo with a groovy Latin percussive rhythm, keyboard accompaniment, brass band harmony and a groovy bass line. The song is romantic and emotional. The song is a salsa dance hit, but has poor audio quality issues.."
DLDZrtwyY_Y,30,40,"['brass band', 'people cheering', 'cornets', 'enthusiastic', 'cheerful', 'home music video', 'crowd’s favourite', 'enjoyable', 'exciting', 'passionate', 'science fiction fans', 'exciting journey', 'space travel', 'french horns', 'star wars theme', 'brass quartet', 'live audience', 'people whistling and clapping', 'poor audio quality', 'amateur brass band', 'memdium tempo', 'movie soundtracks', 'instrumental music']","The song is an instrumental. The song is medium tempo with a brass quartet playing French horns playing a well known movie soundtrack to the crowds cheering, clapping  and whistling. The sound quality is bad with ambient crowd noise."
DLJGT99uEh4,30,40,"['low quality', 'reverberant', 'instrumental', 'clapping', 'punchy kick', 'shimmering hi hats', 'tinny percussive elements', 'wide echoing effects', 'groovy', 'energetic']","The low quality recording features a reverberant instrumental that consists of punchy kick hits, claps, shimmering hi hats, bouncy and tinny percussive elements. There are wide echoing effects at one point of the loop. Sounds energetic and groovy, like something you would hear in underground clubs."
DMwvY--3XD0,30,40,"[""children's song"", ""children's voice"", 'bass lick', 'keyboard music', 'simple percussion', 'pop song', 'reggae feel', 'moderate tempo']",This children's song features the voices of children singing the  main melody. This is accompanied by percussion playing a simple beat. A keyboard plays the sounds of a marimba to give this song a reggae feel. The bass plays the root notes followed by a run at every chord change. This song has a happy mood. This song can be played in a children's animation movie.
DNYDyXn6qso,30,40,"['female singers', 'animated vocals', 'yodelling sounds', 'relaxing playlist', 'children’s songs', 'animal noises', 'medium tempo', 'guitar accompaniment', 'female singers', 'vocal duet', 'vocal harmony', 'medium fast tempo', 'poor audio quality', 'story telling', 'cheerful', 'happy', 'life is good', 'hood old times', 'vintage super hits', 'heavy noise', 'vintage pop song', 'children’s song']",Two female singers sing this delightful vocal duet in harmony. They make funny animated vocal effects like yodelling  and funny animal noises. The song is medium fast tempo with a guitar accompaniment and no percussion. The song is cheerful and story telling in nature. The song is a vintage pop song with bad audio quality.
DO8Db_i7IVc,30,40,"['techno trance', 'no singer', 'electronic dance music', 'synth', 'piano', 'strong bass', 'loud', 'vibrant', 'dance', 'repeated theme']",This is a techno trance music piece. Multiple synths are used to create the repetitive theme of a multi-layered melodic background. There is a strong fuzzy synth bass sound. A piano can be heard playing a leading tune. The atmosphere is loud and vibrant and danceable. It could be played at nightclubs and DJ playlists.
DOb8htND5_o,30,40,"['disco song', 'dance song', 'female voices', 'male voices', 'programmed percussion', 'vocables', 'synth song', 'moderate tempo', 'happy mood']","This disco song features female voices and male voices singing vocables in harmony in the background. A synth melody is played in the foreground. Toward the end of the melody, a synth swell is played in a ringing tone. At the peak, the percussion starts to play a dance beat. The synth changes melody to a faster rhythm. The mood of this song is happy and upbeat. This song can be played in a club."
DP2vmsftZHY,30,40,"['duet', 'male vocalist', 'female vocalist', 'children’s song', 'strong', 'electric guitar rhythm', 'steady drumming', 'digital drum beat', 'synthesiser arrangement', 'story telling', 'soft', 'melodious', 'melodic amplified piano']","This song is a sweet duet. The tempo is medium with a melodious, intense piano accompaniment , electric guitar rhythm, steady drumming and synthesiser arrangements. This song is melodic, story telling, spirited, emotional, passionate and sweet. The lyrics are simple and so this song could be a Children’s Song."
DP72GDe6AAs,18,28,"['2000s pop/synth-rock', 'drums', 'sound effects', 'synth pad sound', 'medium to uptempo']",This song contains a drum set playing a groove with an outstanding snare hit and hihats panned to the right side of the speakers. Synthesizer pad sounds are rising up in pitch to the mid range. The recording also contains something like a short sniffing sound used as part of the rhythm and sound effects. This song may be playing in a thriller-movie.
DPW5M1FYxu4,490,500,"['oriental/orchestral', 'acoustic guitars', 'oud', 'strings', 'acoustic drums', 'percussion', 'upright bass', 'male voice singing', 'higher pitch', 'medium to uptempo']",This composition contains acoustic guitars strumming chords panned to the right side of the speakers. Other plucked string instruments are playing a melody along. An acoustic drum is playing a simple dance groove with a pregnant hihat. In the background you can hear an upright bass and violins playing a melody on the next part of the song. A male voice is singing in the mid-to high range. This song may be playing live.
DQ_gcdLhAsY,30,40,"['average audio quality', 'female singer', 'movie soundtrack', 'bollywood music', 'love song', 'romantic', 'medium tempo', 'indian percussion instruments', 'emotional', 'passionate', 'hindi hits', 'tabla', 'percussive bass line', 'keyboard string section', 'bells percussions', 'shrill vocal quality', 'keyboard harmony']","A female singer sings this Bollywood melody. The song is medium tempo with a steady drumming rhythm with various Indian percussion like bells and tabla, keyboard harmony and  string harmony. The song is romantic and emotional. The song is a retro Bollywood love song with an average audio quality."
DQrdOgRb-oA,10,20,"['ambient', 'electronica', 'no singer', 'instrumental', 'granular synth', 'mellow sounding', 'warp effect', 'piano', 'uneasy', 'melancholic', 'nostalgic']",This is an ambient/electronica music piece. It is an instrumental piece. There is a granular synth playing a vague sounding melody while a warp effect enters and a piano starts playing gently. There is a nostalgic and melancholic feel to it. This piece could be playing in the soundtrack of a drama movie during a scene where the feeling of regret is emphasized.
DQzg3cZeYSw,30,40,"['amateur recording', 'child female voice', 'dj performance', 'male vocal sample', 'turntable', 'scratching', 'electronic drums', 'urban sound']",This is an amateur recording of a little girl performing on a turntable. The girl can be heard talking to the person behind the camera. There is a repeating male vocal sample and an electronic drum beat in the piece that is playing. There is an urban atmosphere to the track.
DRU-IFx-7yQ,80,90,"['drum&bass', 'synth bass', 'synth riser sound and lead', 'male voice sample', 'digital drums', 'aggressive', 'fast tempo']",This song contains a synth riser sound than a male voice sample that was pitched very low and starts to say a phrase before the beat hits in with a fast digital drum and bass groove along with an aggressive synth bass sound. A synth lead sound is playing a melody creating a countermelody to the bass. This song may be playing while doing extreme sports.
DTkKGYCRMlc,80,90,"['horn solo', 'wind ensemble', 'brass', 'bass drum', 'snare drum', 'tuba', 'quick tempo', 'forceful']","Quick, forceful wind ensemble music featuring a horn solo with brass, tuba, bass drum and snare drum accompanying."
DTnCrtCro44,30,40,"['didgeridoo music', 'bass', 'piano', 'percussion', 'crickets', 'sounds of nature', 'birds chirping', 'droning sound', 'no voices', 'instrumental', 'slow tempo']","This song features a didgeridoo playing the main melody. This is a droning sound. This is accompanied by percussion playing a simple beat. A bass playing fills in the same scale as the didgeridoo melody. A piano plays filler chords in between lines. In the background, the sound of crickets is played. The sound of birds chirping is played. This song can be played in a meditation session. There are no voices in this song."
DU3Vlaa8rU0,290,300,"['low quality', 'flat male vocal', 'tutorial', 'organ keys', 'mono', 'boomy', 'noisy']",The low quality recording features a tutorial on boomy organ keys narrated by flat male vocals. It is noisy and the recording is in mono.
DU5pD63Pv30,20,30,"['advertisement', 'jingle', 'sound effects', 'bed creaking', 'laughter', 'accordion', 'goofy tune']",These are sounds coming from an advertisement. There are sound effects of bed creaking and laughter implying an intercourse is taking place. Then the act is interrupted by a goofy accordion tune. Sounds from this track can be used in soundboards or in beat-making.
DUNOn71oGCw,40,50,"['instrumental music', 'poor audio quality', 'guitar solo', 'ambient echoes', 'guitar played accompaniment style', 'guitar amplifier', 'tone generator', 'subtle bass line', 'home video', 'youtube music video', 'soloist', 'guitar solo', 'exciting', 'adventurous', 'guitar demo', 'passionate', 'medium tempo', 'emotional', 'adventure music']","The song is an instrumental. The song is medium tempo with a guitar playing solo accompaniment  style, with a subtle bass line. The song is entertaining and passionate. The song audio quality is poor with a lot of ambient echoes."
DUmXpq-Cksg,30,40,"['low quality', 'background instrumental music', 'groovy cowbell', 'loud', 'noisy', 'mono']","The low quality recording features a percussionist playing groovy cowbell over instrumental music playing in the background. It is kind of loud, noisy and the recording is in mono."
DV5mynb77JM,10,20,"['live recording', 'electric guitar', 'intricate electric guitar playing', 'rock', 'arpeggio', 'dark', 'mysterious']",Here we have a guitarist playing an intricate rock motif on the electric guitar. We hear some rapid plucking of a melody that sounds dark and mysterious. This is a live recording.
DVuWm53IlVw,30,40,"['low quality', 'aggressive spanish guitar chord progression', 'noisy', 'live performance', 'passionate female vocal', 'passionate', 'emotional']","The low quality recording features a live performance of an aggressively strummed Spanish guitar and passionate female vocal singing on top of it. It is very noisy, but it sounds passionate and emotional."
DW3z-ByrfWY,380,390,"['low quality', 'buzzy', 'noisy', 'mono', 'stuttering', 'digital synth melody', 'flat male vocal']","The low quality recording features a flat male vocal talking over digital synth melody, followed by stuttering buzzy noise. The recording is in mono and very noisy."
DW7Qe-50X_A,250,260,"['jordanian folk music', 'male vocal', 'arabic', 'rabab', 'strings', 'melancholic', 'solemn', 'slow tempo']",This is a Jordanian folk music piece. There is a male vocalist singing in the Arabic language in a melancholic manner. The melody is being played at a medium range by the rabab. There is a string section backing holding a single note. The atmosphere is solemn. This piece could be playing during a mourning scene in a drama movie that takes place in the Arab world.
DX4_QlYLq30,30,40,"['lullaby', 'no singer', 'instrumental', 'music box', 'gentle', 'calming', 'relaxing', 'sleep-inducing']",This is a lullaby music piece. It is an instrumental piece. There is a music box playing a gentle melody in the major key. The atmosphere is calming and relaxing. This piece could fit perfectly in a playlist meant to be played for babies before sleep. It could also be playing in the background at a daycare center.
DXd83S6NHLg,80,90,"['tibetan singing bowl', 'standing bell', 'bell sound', 'calming sound', 'high pitched bell sound', 'relaxing', 'tranquil', 'soothing']",This clip features the sound of a Tibetan singing bowl.  The sound is a high pitched sound that is sustained without breaks. It's a relaxing and serene sound.
DXeiJpZXVAI,30,40,"['low quality', 'live performance', 'microphone boomy feedback', 'clapping', 'shimmering hi hats', 'groovy bass', 'brass melody', 'groovy piano melody', 'punchy snare', 'happy', 'fun', 'suspenseful']","The low quality recording features a live performance that consists of shimmering hi hats, claps, groovy bass, groovy piano melody, brass melody and punchy snare. In the second half of the loop, there is a boomy microphone feedback, which makes a happy and fun atmosphere a bit suspenseful."
DY7ko7iQCug,30,40,"['backing track', 'amateur recording', 'karaoke', 'female voice singing', 'acoustic drums', 'e-guitar', 'medium uptempo']","A female voice is singing along to a karaoke track containing an acoustic drumset playing a simple groove, an e-guitar playing a melody on top and female backing voices. This song may be playing at a karaoke night."
DYp8940tHso,0,10,"['cover', 'speed metal', 'progressive metal', 'instrumental', 'distorted electric guitar', 'guitar solo', 'shredding', 'complex', 'rapid', 'violent', 'poor quality']",This is the guitar cover of a speed metal/progressive metal piece. The distorted electric guitar is playing a solo. There is a rapid and complex procession of notes in the solo which is played by the shredding technique. There is a loud and violent atmosphere to the recording. The quality is quite poor since the recording is a bit dated.
DYpjbiyPUho,200,210,"['explosion sound effect', 'glass shattering sound effect', 'sustained accordion melody', 'fun', 'happy', 'muted plucked strings melody', 'bouncy snare', 'snappy rimshots', 'shimmering hi hats', '""4 on the floor"" kick pattern', 'unbalanced stereo', 'low qaulity']","The low quality recording features an explosion and glass shattering sound effects, while sustained accordion melody, muted plucked strings melody, bouncy snare, snappy rimshots, shimmering hi hats and ""4 on the floor"" kick pattern are playing in the background. The Drums are mostly panned to the left channel of the stereo image, which is making it unbalanced, although it sounds fun and happy."
DZ3EShJzOOc,120,130,"['synthesizer', 'pad sounds', 'melancholic', 'meditative']",Synthesizes are playing dreamy pads with a lot of reverb. This song may be playing while watching a documentary.
D_QEW1Lnl2Q,30,40,"['scissors sound effects', 'mono', 'low quality', 'beeping sound effects', 'wooden foley effects', 'video game']","The low quality recording features mono sounds of beeping sound effects, scissors sound effects and some wooden foley effects. It is obviously a video game sound effect, but the sound quality is low since it does not have much depth to it."
D_usHKfOXCw,40,50,"['drum practice pad', 'shuffle beat', 'no other instruments', 'male narrator voice', 'no other instruments']",This audio features a drum practice pad being played. A shuffle beat is played on the practice pad. There are no other instruments in this song. A male voice narrates instructions. This song can be played in an instructional video on the shuffle beat.
DaeJYtWgcoI,30,40,"['live band', 'very poor audio quality', 'ambient noises', 'chaotic harmony', 'bad recording', 'percussive bass line', 'metal band', 'college music festival', 'heavy metal drumming', 'guitar strumming', 'guitar lead', 'cymbals crashing', 'chaotic harmony', 'dissonant harmonies', 'groovy music', 'amateur band', 'youthful', 'energetic', 'spirited', 'teen spirit', 'instrumental music', 'fast tempo']","The song is instrumental.The tempo is fast with a strong metal drumming rhythm, groovy bass line, cymbals crashing, guitar lead and guitar rhythm. The song is chaotic and energetic. The song has very poor audio quality."
DaiVfxATCEE,210,220,"['tarab', 'andalusian', 'arabian', 'orchestra', 'male vocal', 'strings', 'oud', 'percussion', 'joyful']",This is a live performance of a Tarab music piece. It is being played by an orchestra that is composed of string and oud players that provide the melody and percussion players that provide the rhythmic background. There is a male vocalist as the lead. Clear influences of Arabian music can be heard in the piece. There is a joyful atmosphere. It can be played in the background of a Middle Eastern/North African cuisine restaurant.
Db0c4aAwUbY,30,40,"['funk', 'steeldrums', 'acoustic drums', 'congas', 'shaker', 'uptempo', 'amateur recording']",A lot of people are playing different parts of a funk song on steel-drums. An acoustic drum is playing a faster funk groove together with congas and shakers. This song may be playing outside at a live show.
DdxW_JziHTA,30,40,"['low quality', 'funk', 'funky keys melody', 'shimmering shakers', 'shimmering open hat', 'passionate male vocal', 'wooden percussive elements', 'groovy bass', '4 on the floor kick', 'noisy', 'unbalanced stereo']","The low quality recording features a funk song that consists of passionate male vocal singing over shimmering open hats and shakers, funky and groovy keys melody, groovy bass, wooden percussive elements and ""4 on the floor"" kick pattern. It is noisy, but also funky and the stereo image is unbalanced, as the song is leaning towards the right channel."
DewyiIpkzi8,230,240,"['groovy', 'piano chords', 'bouncy piano chord progression', 'electric guitar licks', 'jazzy electric guitar licks', 'chorus pedal effect', 'overdrive effect', 'jazzy']","The song has a traditional jazzy feel to it. The piano chord progression is bouncy and light. The electric guitar has a chorus applied to it, and we hear various licks being played."
Dg8BLvkzdr0,30,40,"['noisy', 'low quality', 'boomy trombone', 'reverberant', 'floor crackles', 'subtle short female vocal', 'orchestra']","The low recording features a boomy trombone played in a large space and, at the very end of the loop, the short and subtle female vocal. It sounds very noisy and there are a couple of floor crackling sounds."
DgVpK6r7JT4,280,290,"['anime', 'male voice', 'funny speaking', 'sneeze', 'hissing sounds', 'orchestra piece', 'brass section', 'timpani', 'rising pattern', 'dramatic', 'peculiar']","This is an excerpt from a dubbed anime. There is a male voice speaking in a funny manner. Then, a dramatic orchestra piece starts playing to imply something is about to happen. The brass section and the timpani are playing a rising pattern until a sneeze and hissing sounds can be heard. There is a peculiar feel to this track. Parts of it could be sampled for use in beat-making."
DgqPgNqW2hE,50,60,"['female singer', 'lilting melody', 'vocal vibrato', 'avant-garde', 'string section accompaniment', 'piano accompaniment', 'steady drumming rhythm', 'snare playing', 'retro pop hits', 'avante-garde', 'french jazz', 'retro jazz', 'pleasant', 'emotional', 'it’s a wonderful life', 'carefree', 'love song', 'retro hits', 'vintage pop', 'vintage jazz', 'cheerful', 'romantic']","A female singer sings this beautiful vintage French melody. The song is medium tempo with a steady drum rhythm, steady bass line, piano accompaniment , string section harmony and some lush snare play. The song is romantic and cheerful with an avant-garde nature."
DhnNZn8JjEQ,30,40,"['instrumental', 'medium tempo', 'keyboard harmony', 'waves', 'rhythmic guitar', 'sound of bell', 'sound of water', 'finger snapping sound', 'soft', 'mellow', 'pleasant', 'simple melody', 'spirited guitar']","This song is an instrumental. The tempo is medium with simple keyboard harmony, melodious guitar rhythm with the sound of a bell, waves and fingers snapping which could be a friction of fingers against the strings.The song is soft, melodic, pleasant, simple, calming and peaceful."
Di7Rs4QmYKI,150,160,"['classical music', 'march', 'instrumental', 'orchestra', 'brass', 'trombones', 'tuba', 'anthem', 'epic', 'solemn', 'melancholic', 'slow tempo', 'movie music']",This is a classical music piece that resembles the style of a march. It is an instrumental piece performed by a brass orchestra. The main theme is being played by the trombones while a bass line is played by the tuba. The tempo of the piece is slow and this creates an epic but solemn atmosphere. This piece would work perfectly as a movie music piece. It could be playing during the scenes of an important character dying.
Dk7ziLlNfeM,10,20,"['instrumental music', 'sci-fi', 'screaming tones', 'distorted guitar lead', 'average audio quality', 'futuristic', 'doomsday', 'apocalypse', 'song introduction', 'building tension', 'gripping', 'adrenaline rush', 'nightmarish landscape', 'electronic dance music', 'psychedelic', 'mind games', 'slow tempo', 'building anticipation', 'low pitched harmony', 'grunge low tones', 'emotional', 'scary', 'eerie', 'alien landscape', 'keyboard harmony', 'tense']","The song is an instrumental. The song is slow tempo with a keyboard harmony, grunge tone, guitar playing lead , screaming vocals and no percussion. The song is psychedelic and very sci-fi like in nature. The song audio quality is average."
DkZ1Or_D-g8,100,110,"['amateur recording', 'theremin', 'experimental']",This audio contains someone creating sounds with a theremin. This is not a musical composition. This is an amateur recording.
DlU56FGTVEk,30,40,"['low quality', 'blues', 'electric guitar solo', 'passionate male vocal', 'energetic drums', 'brass melody', 'smooth bass', 'crushed', 'distorted', 'noisy']","The low quality record features a blues song played on some device and it features brass melody, electric guitar solo melody, energetic drums, smooth bass and passionate male vocal singing over it. It sounds crushed, distorted and noisy."
DlVgHV1UobM,30,40,"['low quality', 'dubstep', 'punchy kick', 'punchy snare', 'shimmering hi hat', 'manic laughing sound effect', 'man yelling sound effect', 'hard synth bass', 'aggressive synth lead melody', 'energetic crash cymbal', 'energetic', 'exciting']","The low quality recording features a dubstep song that consists of manic laughing sound effects, man yelling sound effects, punchy snare and kick hits, shimmering hi hats, hard synth bass, aggressive synth lead melody and energetic crash cymbals. The mix of the song is not very good, thus the quality of the recording is lower - although it sounds energetic and exciting."
DpAfyjjQJyk,250,260,"['movie music', 'strings', 'cinematic synth', 'synth bass', 'electronic drums', 'sound effects', 'dread', 'hopelessness', 'ominous', 'terrifying']","This is a movie music piece. Elements with sharp characters in varying ranges such as strings, cinematic synth and synth bass have been used to create a feeling of dread and hopelessness. The electronic drums have been used for crash hits to put emphasis points. There are also other unnerving sound effects. The atmosphere of the piece is ominous. It could be used in the soundtrack of a horror movie or a horror video game."
DpS_TigOHWo,180,190,"['jam', 'no singer', 'instrumental', 'single instrument', 'electric guitar', 'guitar solo', 'effect pedal', 'reverb', 'easygoing', 'mellow', 'simple']",This is the recording of a gear showcase jam. The only instrument being played is an electric guitar. There is a solo being played while a reverb effect pedal is in use. The atmosphere is easygoing and the tunes are simple. Parts of this piece could be used as samples for beat-making. These samples could also work well for advertisement jingles.
Dr4Ijx7Q9jk,30,40,"['amateur recording', 'low quality audio', 'strings', 'continuous percussion']",This is amateur low quality audio. A violin plays sets of two notes. A continuous percussion is played which drowns out the other instruments. The tempo is moderate.
DroAzooK4yw,30,40,"['singer-songwriter', 'acoustic guitar', 'male voice', 'higher register singing', 'soft stomping noise', 'melancholy', 'amateur recording', 'medium tempo']",Someone is playing acoustic guitar. While a higher pitched male voice is singing a sad song. This is an amateur recording. This song may be playing at home on a rainy day.
DsAp3b1poeA,30,40,"['game music', 'low quality recording', 'jumping sounds', 'no voices', 'instrumental', 'bells', 'continuous bass', 'quirky sounds']",This clip features game sounds. The main melody is played using bells There is the sound of brass instruments playing a swell toward the end. There is the sound of jumping. The sound of a large percussion is played in the background. There are no voices in this clip. There are quirky sounds played in this clip which are not immediately identifiable. The quality of this recording is low.
Du3Q6NdsSso,30,40,"['low quality', 'noisy', 'mono', 'muffled tuba melody', 'happy', 'fun', 'cover']","The low quality recording features a cover that consists of a muffled tuba melody. The recording is very noisy, in mono - as it was probably recorded with a phone, but it sounds happy and fun."
DueNcVFHI0k,20,30,"['amateur recording', 'snare drum', 'marching beat', 'no other instruments', 'snare roll', 'instrumental', 'no voices']",This amateur recording clip features a snare drum playing a continuous roll. It is like a marching beat. It sounds like a roll made before an important announcement in a kingdom. This is an instrumental clip. There are no voices in this clip. There are no other instruments in this clip.
Dv21JlCT4_k,40,50,"['gregorian chant', 'christian orthodox church', 'female vocal', 'soprano', 'choir', 'low-to-medium range', 'religious', 'spiritual', 'solemn']",This is a Gregorian chant performed at a Christian Orthodox church setting. There is a female vocalist singing in the lead while a choir is singing in a hum-like manner at low-to-medium pitch. The atmosphere is religious and the character of the song is solemn. This piece can be used in the background at Orthodox religious events. It could also be playing in tragedy/aftermath of battle scenes in historical drama movies or TV shows with a Balkan/Eastern European setting.
